P. Name,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),
1RXS 1609 b,non-habitable,,4451.16,19.04,4.08E-06,4.08E-06,4.08E-06,
1SWASP J1407 b,non-habitable,6358.8,6358.8,10.94,0.02166914,0.02166914,0.02166914,
2M 0103-55(AB) b,non-habitable,4133.22,4133.22,11.4,3.96E-06,3.96E-06,3.96E-06,
2M 0122-24 b,non-habitable,,6358.8,11.2,1.03E-05,1.03E-05,1.03E-05,
2M 0219-39 b,non-habitable,,4419.37,16.13,2.37E-07,2.37E-07,2.37E-07,
2M 0441+23 b,non-habitable,2384.55,2384.55,11.66,1.26E-07,1.26E-07,1.26E-07,
2M 0746+20 b,non-habitable,,9538.2,10.86,9.06E-06,2.29E-05,7.61E-05,
2M 1207-39 b,non-habitable,1271.76,1271.76,11.66,2.74E-08,2.74E-08,2.74E-08,
2M 1938+46 b,non-habitable,604.09,604.09,11.21,0.1531191,0.1531191,0.1531191,
2M 2140+16 b,non-habitable,,6358.8,10.3,1.27E-05,2.09E-05,3.68E-05,
2M 2206-20 b,non-habitable,,9538.2,14.56,1.65E-05,1.65E-05,1.65E-05,
2M 2236+4751 b,non-habitable,3974.25,3974.25,11.43,7.43E-07,7.43E-07,7.43E-07,
2MASS J1450-7841 Ab,non-habitable,12717.6,12717.6,9.75,1.56E-09,1.56E-09,1.56E-09,
2MASS J1450-7841 Bb,non-habitable,12717.6,12717.6,9.75,1.56E-09,1.56E-09,1.56E-09,
2MASS J2250+2325 b,non-habitable,9538.2,9538.2,10.3,             ,             ,             ,
2MASS J11193254 AB b,non-habitable,1176.38,1176.38,11.64,             ,             ,             ,
2M J2126-81 b,non-habitable,4228.6,4228.6,11.38,7.82E-09,7.82E-09,7.82E-09,
4 Uma b,non-habitable,2257.37,2257.37,11.67,72.05381,163.7823,457.8407,
6 Lyn b,non-habitable,21874.27,21874.27,,2.393847,3.106028,4.104261,
7 CMa b,non-habitable,782.13,782.13,11.44,0.4514996,0.6887656,1.104356,
8 Umi b,non-habitable,476.91,476.91,10.92,179.9768,202.5754,228.8484,
11 Com b,non-habitable,6168.04,6168.04,10.98,64.95758,101.1515,166.4222,
11 Oph b,non-habitable,6676.74,6676.74,10.87,2.97E-10,2.97E-10,2.97E-10,
11 UMi b,non-habitable,3338.37,3338.37,11.54,66.72755,78.07546,91.9485,
14 And b,non-habitable,1694.62,1694.62,11.68,84.5634,84.56341,84.56342,
14 Her b,non-habitable,1475.24,1475.24,11.68,0.02488932,0.05017497,0.1171233,
16 Cyg B b,non-habitable,534.14,534.14,11.06,0.1183426,0.4656991,3.489002,
18 Del b,non-habitable,3274.78,3274.78,11.55,5.052827,5.912127,6.962639,
24 Boo b,non-habitable,289.33,289.33,10.09,1485.419,1614.173,1757.259,
24 Sex b,non-habitable,632.7,632.7,11.25,6.892935,8.222184,9.88868,
24 Sex c,non-habitable,273.43,273.43,9.99,2.021499,3.514242,6.671723,
