P. Name,P. Habitable Class,P. Min Mass (EU),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Hab Zone Min (AU),S. Hab Zone Max (AU),
1RXS 1609 b,non-habitable,,0.73,1.35,4060,0.444285,0.54,1.362,
1SWASP J1407 b,non-habitable,6358.8,0.9,0.99,4400,0.329588,0.461,1.143,
2M 0103-55(AB) b,non-habitable,4133.22,0.4,0.38,3840,0.027955,0.136,0.347,
2M 0122-24 b,non-habitable,,0.4,0.38,3840,0.027955,0.136,0.347,
2M 0219-39 b,non-habitable,,0.11,0.27,3064,0.005765,0.062,0.165,
2M 0441+23 b,non-habitable,2384.55,0.02,0.01,3840,0.000028,0.004,0.011,
2M 0746+20 b,non-habitable,,0.12,0.09,2205,0.000168,0.011,0.029,
2M 1207-39 b,non-habitable,1271.76,0.03,0.02,3840,0.000058,0.006,0.016,
2M 1938+46 b,non-habitable,604.09,0.6,,,0.1296,,,
2M 2140+16 b,non-habitable,,0.08,0.1,2300,0.000251,0.013,0.035,
2M 2206-20 b,non-habitable,,0.13,0.11,2350,0.000331,0.015,0.041,
2M 2236+4751 b,non-habitable,3974.25,0.6,0.25,5150,0.039326,0.154,0.371,
2MASS J1450-7841 Ab,non-habitable,12717.6,0.04,0.03,3840,0.00014,0.01,0.025,
2MASS J1450-7841 Bb,non-habitable,12717.6,0.04,0.03,3840,0.00014,0.01,0.025,
2MASS J2250+2325 b,non-habitable,9538.2,,,3840,,,,
2MASS J11193254 AB b,non-habitable,1176.38,,,,,,,
2M J2126-81 b,non-habitable,4228.6,0.4,1.39,3840,0.372521,0.497,1.267,
4 Uma b,non-habitable,2257.37,1.23,18.11,4415,111.801993,8.48,21.034,
6 Lyn b,non-habitable,21874.27,1.7,5.2,4978,14.897593,3.026,7.323,
7 CMa b,non-habitable,782.13,1.52,2.3,4792,2.502723,1.251,3.05,
8 Umi b,non-habitable,476.91,1.8,9.9,4847.4,48.550717,5.496,13.371,
11 Com b,non-habitable,6168.04,2.7,19,4742,163.773362,10.14,24.781,
11 Oph b,non-habitable,6676.74,0.02,0.02,2375,0.000018,0.003,0.009,
11 UMi b,non-habitable,3338.37,1.8,24.08,4340,184.570281,10.921,27.187,
14 And b,non-habitable,1694.62,2.2,11,4813,58.25573,6.029,14.69,
14 Her b,non-habitable,1475.24,0.9,0.71,5311,0.357817,0.461,1.102,
16 Cyg B b,non-habitable,534.14,1.01,0.98,5766,0.952446,0.733,1.727,
18 Del b,non-habitable,3274.78,2.3,8.5,4979,39.83788,4.949,11.975,
24 Boo b,non-habitable,289.33,0.99,10.64,4893,58.220234,6.006,14.585,
24 Sex b,non-habitable,632.7,1.54,4.9,5098,14.550615,2.974,7.162,
24 Sex c,non-habitable,273.43,1.54,4.9,5098,14.550615,2.974,7.162,
30 Ari B b,non-habitable,3141.25,1.22,1.23,6484,2.399231,1.114,2.586,
38 Vir b,non-habitable,1433.91,1.18,1.45,6557,3.486957,1.337,3.102,
42 Dra b,non-habitable,1233.61,0.98,22.03,4200,135.492709,9.395,23.546,
47 Uma b,non-habitable,804.39,1.03,1.24,5892,1.662586,0.961,2.258,
47 Uma c,non-habitable,171.69,1.03,1.24,5892,1.662586,0.961,2.258,
47 Uma d,non-habitable,521.42,1.03,1.24,5892,1.662586,0.961,2.258,
51 Eri b,non-habitable,1928.45,1.75,1.49,7300,5.6428,1.647,3.796,
51 Peg b,non-habitable,,1.11,1.27,5793,1.619464,0.954,2.247,
55 Cnc b,non-habitable,267.07,0.91,0.94,5196,0.581554,0.591,1.419,
55 Cnc c,non-habitable,56.72,0.91,0.94,5196,0.581554,0.591,1.419,
55 Cnc d,non-habitable,1227.25,0.91,0.94,5196,0.581554,0.591,1.419,
55 Cnc e,non-habitable,,0.91,0.94,5196,0.581554,0.591,1.419,
55 Cnc f,non-habitable,47.02,0.91,0.94,5196,0.581554,0.591,1.419,
61 Vir b,non-habitable,5.09,0.95,0.94,5531,0.741925,0.656,1.556,
61 Vir c,non-habitable,18.22,0.95,0.94,5531,0.741925,0.656,1.556,
61 Vir d,non-habitable,22.89,0.95,0.94,5531,0.741925,0.656,1.556,
70 Vir b,non-habitable,2098.4,0.92,1.97,5432,3.025375,1.332,3.17,
75 Cet b,non-habitable,953.82,2.49,10.5,4846,54.550918,5.826,14.175,
81 Cet b,non-habitable,1685.08,2.4,18,4790,153.030103,9.782,23.856,
91 Aqr b,non-habitable,1017.41,2.5,8.55,4665,31.06195,4.43,10.862,
AB Pic b,non-habitable,4292.19,,0.98,4875,0.480532,0.546,1.327,
Aldebaran b,non-habitable,2057.07,1.13,45.1,4055,493.408199,17.994,45.42,
alf Ari b,non-habitable,572.29,1.5,13.9,4553,74.492062,6.889,16.979,
alf Cen B b,non-habitable,1.14,0.93,0.86,5214,0.49408,0.545,1.306,
AS 205 A b,non-habitable,6120.35,0.9,3.7,4300,4.199205,1.649,4.114,
BD+03 2562 b,non-habitable,2034.82,1.14,32.35,4095,264.03051,13.15,33.128,
BD+14 4559 b,non-habitable,467.37,0.86,0.79,5008,0.348289,0.462,1.117,
BD+15 2375 b,non-habitable,337.02,1.08,8.95,4649,33.571764,4.608,11.308,
BD+15 2940 b,non-habitable,352.91,1.1,14.7,4796,102.574923,8.007,19.521,
BD+20 274 c,non-habitable,1335.35,0.8,17.3,4296,91.461682,7.698,19.204,
BD+20 594 b,non-habitable,11.77,0.96,0.93,5766,0.854052,0.694,1.636,
BD+20 1790 b,non-habitable,2025.28,0.63,0.71,4410,0.171065,0.332,0.823,
BD+20 2457 b,non-habitable,6810.27,2.8,4.39,4127,4.989534,1.806,4.543,
BD+20 2457 c,non-habitable,3964.71,2.8,4.39,4127,4.989534,1.806,4.543,
BD+24 4697 b,non-habitable,16850.82,0.75,0.73,5077,0.316406,0.439,1.058,
BD+26 1888 b,non-habitable,8266.44,0.76,0.63,4748,0.178471,0.335,0.818,
BD+48 738 b,non-habitable,289.33,0.74,11,4414,41.210186,5.149,12.771,
BD+49 828 b,non-habitable,508.7,1.52,7.6,4943,30.937093,4.368,10.586,
BD-06 1339 b,non-habitable,8.58,0.7,1.64,4324,0.835718,0.735,1.832,
BD-06 1339 c,non-habitable,54.05,0.7,1.64,4324,0.835718,0.735,1.832,
BD-06 1339 d,non-habitable,28.93,0.7,1.64,4324,0.835718,0.735,1.832,
BD-08 2823 b,non-habitable,14.31,0.74,0.67,4746,0.200736,0.355,0.867,
BD-08 2823 c,non-habitable,104.92,0.74,0.67,4746,0.200736,0.355,0.867,
BD-10 3166 b,non-habitable,102.14,0.99,1.71,5400,2.230782,1.146,2.73,
BD-11 4672 b,non-habitable,168.51,0.57,0.52,4475,0.09729,0.25,0.618,
BD-17 63 b,non-habitable,1621.49,0.74,0.69,4714,0.210934,0.364,0.891,
