hab_lbl,P. Min Mass (EU),P. Mass (EU),P. Radius (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU)
0,5.09,5.09,1.66,234.718,296.5414,380.1633
0,1.14,1.14,1.09,308.7997,308.7997,308.7998
0,11.77,16.31,2.23,14.7045,14.7045,14.7045
0,8.58,8.58,1.91,456.218,456.218,456.2181
0,0.17,4.74,1.52,1458.282,1842.386,2361.921
0,18.21791367,4.31,1.59,16.15,16.15,16.15
0,18.21791367,8.68,1.92,8.198086,8.198087,8.198089
0,18.21791367,22.64,2.41,251.9139,251.914,251.914
0,18.21791367,10.17,1.99,0.1165529,0.1165529,0.1165529
0,18.21791367,445.12,2.8,809.9706,809.9708,809.9709
0,18.21791367,2.23,1.32,547.1144,547.1145,547.1146
0,18.21791367,4.54,1.61,213.6169,213.617,213.617
0,18.21791367,3.88,1.55,466.4485,466.4485,466.4486
0,18.21791367,23.12,2.42,128.5021,128.5021,128.5021
0,18.21791367,8.58,1.9,379.4331,379.4332,379.4332
0,18.21791367,10.88,2.03,121.9863,121.9863,121.9863
0,18.21791367,9.09,1.94,17.88396,17.88396,17.88396
0,18.21791367,16.46,2.24,3.15283,4.462212,6.527848
0,18.21791367,10.64,2.02,17.97536,21.85776,26.84962
0,18.21791367,16.46,2.24,20.39376,20.39376,20.39376
0,18.21791367,8.48,1.9,44.02319,62.30619,91.14883
0,18.21791367,2.37,1.34,26.51129,32.23732,39.59966
0,18.21791367,1.7,1.22,94.01602,94.01603,94.01604
0,18.21791367,2.58,1.38,198.0276,198.0276,198.0277
0,18.21791367,2.3,1.33,48.13123,48.13124,48.13125
0,18.21791367,5.82,1.72,26.14432,26.14432,26.14432
0,18.21791367,4.77,1.64,16.55987,16.55987,16.55987
0,18.21791367,4.77,1.64,8.264898,8.264899,8.264899
0,18.21791367,10.17,1.99,4.836929,4.83693,4.836931
0,18.21791367,2.37,1.34,20.47271,20.47272,20.47272
0,18.21791367,16.11,2.23,56.84837,56.84837,56.84838
0,18.21791367,12.42,2.09,20.28602,20.28602,20.28603
0,18.21791367,0.2,0.64,23.99326,26.02189,28.27068
0,18.21791367,1.4,1.1,8.179411,8.179411,8.179412
0,18.21791367,0.89,1,4.79462,4.794621,4.794621
0,18.21791367,1.3,1.1,3.390143,3.390144,3.390144
0,18.21791367,2.71,1.4,271.7266,271.7266,271.7266
0,18.21791367,2.3,1.33,66.85909,66.85909,66.8591
0,18.21791367,1589.7,1.99,20.948,20.948,20.948
0,3.03,3.03,1.44,3.493732,4.199658,5.093664
0,8.43,8.43,1.9,8.882277,8.882278,8.88228
0,1.18,1.18,1.1,5.536193,7.689316,10.99925
0,5.3,5.3,1.68,5.840059,6.446419,7.133913
0,5.37,5.37,1.69,7.992558,9.351799,11.0135
0,5.4,5.4,1.69,1.98165,2.27422,2.62301
0,1.94,1.94,1.27,8.852251,16.27629,33.34861
0,3.02,3.02,1.44,1.646878,2.120652,2.777983
0,9.54,9.54,1.96,12.81783,18.83514,28.83528
0,5.6,5.6,1.71,4.207579,5.418015,7.097418
0,5.1,5.1,1.67,0.1695281,0.1799281,0.1911438
0,4.6,4.6,1.62,0.03897282,0.04560067,0.05370333
0,4.45,4.45,1.6,42.37339,56.67265,77.55215
0,4.4,4.4,1.6,1.516594,1.774511,2.08982
0,6.99,6.99,1.81,28.95018,33.93901,40.05334
0,18.21791367,1.62,1.15,18.53447,18.53447,18.53447
0,2.64,2.64,1.39,1.203076,2.014862,3.640508
0,4.2,4.2,1.58,10.69665,13.25849,16.63683
0,1.78,1.78,1.24,77.91904,112.3704,168.1503
0,3.27,3.27,1.47,2.141834,3.206822,5.02373
0,2.31,2.31,1.34,0.0578602,0.08036305,0.1149561
0,6.6,6.6,1.78,2.13124,3.846028,7.680214
0,8.27,8.27,1.89,20.8285,24.37066,28.70102
0,7.15,7.15,1.82,16.07219,20.34426,26.13733
0,2.47,2.47,1.36,49.15769,49.1577,49.15771
0,6.26,6.26,1.76,4.743261,5.22552,5.770939
0,18.21791367,8.2,1.64,279.953,279.953,279.9531
0,18.21791367,2.51,1.29,64.37906,64.37907,64.37908
0,6.45,6.45,1.77,295.6221,295.6221,295.6222
0,5.6,5.6,1.71,95.23772,95.23772,95.23775
0,18.21791367,5.02,1.7,1549.257,1549.258,1549.258
0,6.9,6.9,1.8,45.86985,90.91412,207.0758
0,7.85,7.85,1.87,25.29298,30.63806,37.47594
0,6.45,6.45,1.77,11.13457,16.67103,26.11644
0,2.82,2.82,1.41,25.38296,42.51031,76.80881
0,3.53,3.53,1.5,3.189546,5.146079,8.858066
0,4.77,4.77,1.64,1.531608,2.662598,5.054893
0,3.72,3.72,1.53,100.4558,147.6147,225.9877
0,5.95,5.95,1.74,34.74563,43.06717,54.04093
0,5.15,5.15,1.67,9.14646,13.44025,20.57608
0,3.82,3.82,1.54,71.82004,105.5359,161.568
0,6.43,6.43,1.77,31.49368,35.44815,40.04559
0,8.74,8.74,1.92,11.34943,13.02505,15.02267
0,3.5,3.5,1.5,4.960214,6.634083,9.078231
0,3.62,3.62,1.52,3.631432,3.778823,3.933847
0,7.09,7.09,1.82,49.62152,50.79233,51.9985
0,3.5,3.5,1.5,1.512592,1.874856,2.35258
0,8.36,8.36,1.9,95.05126,127.1272,173.9637
0,9.03,9.03,1.93,197.8119,240.5362,295.4697
0,9.28,9.28,1.95,80.427,107.5678,147.1982
0,5.28,5.28,1.68,86.50932,122.437,179.1152
0,9.54,9.54,1.96,3.035982,6.874417,19.10249
0,6.14,6.14,1.75,22.21726,45.72929,110.0386
0,4.17,4.17,1.58,102.9394,102.9394,102.9395
0,9,9,1.93,11.42567,14.16211,17.77069
0,5.75,5.75,1.72,72.01559,82.00907,93.80375
0,9.19,9.19,1.94,18.62826,23.1339,29.09064
0,7.57,7.57,1.85,24.1611,51.26298,129.0297
0,2,2,1.28,46.3732,91.394,206.4856
0,1.53,1.53,1.18,46.16142,63.27396,89.11
0,2.71,2.71,1.4,20.61895,38.84552,82.33148
0,3.47,3.47,1.5,8.672673,12.11387,17.4451
0,6.36,6.36,1.77,166.6687,227.1649,317.7979
0,18.21791367,3.82,1.6,178.8694,178.8694,178.8694
0,3.5,3.5,1.5,63.02404,63.02405,63.02406
0,3.5,3.5,1.5,691.3159,1506.447,3947.15
0,18.21791367,14.66,2.18,10.73361,10.73361,10.73361
0,18.21791367,7.59,1.85,3.243119,3.24312,3.243121
0,18.21791367,11.1,1.53,1.335845,1.460192,1.599422
0,18.21791367,21.07,2.37,16.59993,16.59993,16.59993
0,18.21791367,8.59,1.91,24.56894,24.56894,24.56894
0,18.21791367,17.1,2.26,10.39209,10.39209,10.3921
0,18.21791367,26.93,2.5,26.88211,26.88211,26.88212
0,18.21791367,22.72,2.41,97.64405,97.64406,97.64407
0,18.21791367,19.53,2.33,161.0259,161.0259,161.026
0,18.21791367,8.24,1.89,12.87534,12.87535,12.87535
0,18.21791367,25.93,2.48,34.72425,34.72426,34.72426
0,18.21791367,10.72,2.02,44.41935,44.41935,44.41936
0,18.21791367,16.14,2.23,9.612109,9.61211,9.612112
0,7.5,7.5,1.84,2.696779,6.600012,20.73903
0,18.21791367,1.35,1.14,487.4937,487.4939,487.494
0,18.21791367,4.31,1.59,16.15,16.15,16.15
0,18.21791367,8.77,1.92,8.198086,8.198087,8.198089
0,18.21791367,444.96,2.5,809.9706,809.9708,809.9709
0,18.21791367,19.17,2.32,17.58092,17.58092,17.58093
0,18.21791367,2.73,1.4,217.8905,217.8905,217.8905
0,18.21791367,12.31,2.09,70.14229,70.1423,70.1423
0,18.21791367,2.22,1.32,545.9712,545.9713,545.9714
0,18.21791367,4.51,1.61,213.1267,213.1267,213.1268
0,18.21791367,12,1.55,465.7567,465.7567,465.7568
0,18.21791367,13.84,2.15,43.71326,43.71327,43.71328
0,18.21791367,11.38,2.05,119.7229,119.7229,119.7229
0,18.21791367,8.24,1.89,10.68332,10.68332,10.68332
0,18.21791367,16.46,2.24,15.24638,15.24638,15.24638
0,18.21791367,8.95,1.93,57.81276,57.81276,57.81277
0,18.21791367,4.31,1.59,19.12419,19.12419,19.1242
0,18.21791367,26.93,2.5,52.55707,52.55709,52.55709
0,18.21791367,1.39,1.15,5.98731,5.98731,5.987311
0,18.21791367,12.55,2.1,23.95402,23.95402,23.95402
0,18.21791367,4.61,1.62,465.0533,465.0533,465.0534
0,18.21791367,5.63,1.71,24.75527,24.75527,24.75527
0,18.21791367,22.72,2.41,17.02875,17.02875,17.02875
0,18.21791367,18.45,2.3,38.11737,38.11738,38.11738
0,18.21791367,25.93,2.48,1693.661,1693.661,1693.661
0,18.21791367,13.57,2.14,67.03484,67.03485,67.03486
0,18.21791367,13.57,2.14,20.57458,20.57459,20.57459
0,18.21791367,11.84,2.07,99.35426,99.35427,99.35429
0,18.21791367,4.21,1.58,45.46983,45.46984,45.46984
0,18.21791367,26.43,2.49,897.5314,897.5314,897.5316
0,18.21791367,4.21,1.58,41.99059,41.9906,41.9906
0,18.21791367,19.17,2.32,17.89142,17.89142,17.89143
0,18.21791367,13.84,2.15,13.67247,13.67247,13.67247
0,18.21791367,2.05,1.29,10.32291,10.32291,10.32291
0,18.21791367,3.17,1.46,2.714836,2.714837,2.714837
0,18.21791367,1.84,1.25,6.646127,6.646128,6.646129
0,18.21791367,24.51,2.45,213.5892,213.5892,213.5892
0,18.21791367,18.8,2.31,59.12028,59.12028,59.1203
0,18.21791367,25.45,2.47,84.24393,84.24393,84.24394
0,18.21791367,2.87,1.42,695.7012,695.7014,695.7015
0,18.21791367,10.51,2.01,32.65696,32.65696,32.65696
0,18.21791367,3.24,1.47,167.5524,167.5524,167.5524
0,18.21791367,7.13,1.82,44.7308,44.7308,44.7308
0,18.21791367,1.81,1.24,40.72011,40.72012,40.72012
0,18.21791367,3.35,1.48,7.274356,7.274358,7.274359
0,18.21791367,22.72,2.41,179.0692,179.0693,179.0693
0,18.21791367,10.94,2.03,25.33377,25.33377,25.33377
0,18.21791367,0.9,1.01,485.4239,485.4239,485.424
0,18.21791367,9.51,1.96,78.939,78.93901,78.93903
0,18.21791367,1.74,1.23,7.975144,7.975145,7.975147
0,18.21791367,0.18,0.61,79.77581,79.77581,79.77582
0,18.21791367,11.16,2.04,7.351604,7.351605,7.351606
0,18.21791367,0.93,1.02,58.59444,58.59445,58.59446
0,18.21791367,1.19,1.1,45.0103,45.01031,45.01032
0,18.21791367,8.36,1.52,5248.438,5248.438,5248.438
0,18.21791367,0.83,0.99,26.51716,32.24446,39.60843
0,18.21791367,4.09,1.57,485.8883,485.8884,485.8884
0,18.21791367,5.09,1.51,3336.174,3336.174,3336.175
0,18.21791367,7.92,1.8,243.9196,243.9196,243.9196
0,7,7,1.81,0.08191247,0.1273154,0.2089763
0,3.33,3.33,1.47,3386.399,3811.608,4305.954
0,18.21791367,19.19,2.32,16.8707,18.62234,20.60837
0,18.21791367,15.76,2.22,67.43002,85.1907,109.2137
0,9.7,9.7,1.87,313.8258,333.0779,353.84
0,18.21791367,0.54,0.86,174.7876,174.7876,174.7876
0,18.21791367,0.87,1,36.62194,36.62195,36.62196
0,18.21791367,4.79,1.64,2310.168,2403.933,2502.553
0,18.21791367,5.42,1.69,361.0418,406.3756,459.0804
0,17.37,17.49,2.23,127.2356,148.8737,175.3267
0,18.21791367,20.36,2.35,181.6308,181.6308,181.6308
0,18.21791367,22.64,2.41,2.646053,2.646054,2.646054
0,18.21791367,6.72,1.79,787.8446,787.8447,787.8447
