hab_lbl,P. Composition Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU)
0,3,5.09,5.09,1.66
0,3,1.14,1.14,1.09
0,3,11.77,16.31,2.23
0,3,8.58,8.58,1.91
0,3,0.17,4.74,1.52
0,3,18.21791367,4.31,1.59
0,3,18.21791367,8.68,1.92
0,3,18.21791367,22.64,2.41
0,3,18.21791367,10.17,1.99
0,3,18.21791367,445.12,2.8
0,3,18.21791367,2.23,1.32
0,3,18.21791367,4.54,1.61
0,3,18.21791367,3.88,1.55
0,3,18.21791367,23.12,2.42
0,3,18.21791367,8.58,1.9
0,3,18.21791367,10.88,2.03
0,3,18.21791367,9.09,1.94
0,3,18.21791367,16.46,2.24
0,3,18.21791367,10.64,2.02
0,3,18.21791367,16.46,2.24
0,3,18.21791367,8.48,1.9
0,3,18.21791367,2.37,1.34
0,3,18.21791367,1.7,1.22
0,3,18.21791367,2.58,1.38
0,3,18.21791367,2.3,1.33
0,3,18.21791367,5.82,1.72
0,3,18.21791367,4.77,1.64
0,3,18.21791367,4.77,1.64
0,3,18.21791367,10.17,1.99
0,3,18.21791367,2.37,1.34
0,3,18.21791367,16.11,2.23
0,3,18.21791367,12.42,2.09
0,3,18.21791367,0.2,0.64
0,3,18.21791367,1.4,1.1
0,3,18.21791367,0.89,1
0,3,18.21791367,1.3,1.1
0,3,18.21791367,2.71,1.4
0,3,18.21791367,2.3,1.33
0,3,18.21791367,1589.7,1.99
0,3,3.03,3.03,1.44
0,3,8.43,8.43,1.9
0,3,1.18,1.18,1.1
0,3,5.3,5.3,1.68
0,3,5.37,5.37,1.69
0,3,5.4,5.4,1.69
0,3,1.94,1.94,1.27
0,3,3.02,3.02,1.44
0,3,9.54,9.54,1.96
0,3,5.6,5.6,1.71
0,3,5.1,5.1,1.67
0,3,4.6,4.6,1.62
0,3,4.45,4.45,1.6
0,3,4.4,4.4,1.6
0,3,6.99,6.99,1.81
0,3,18.21791367,1.62,1.15
0,3,2.64,2.64,1.39
0,3,4.2,4.2,1.58
0,3,1.78,1.78,1.24
0,3,3.27,3.27,1.47
0,3,2.31,2.31,1.34
0,3,6.6,6.6,1.78
0,3,8.27,8.27,1.89
0,3,7.15,7.15,1.82
0,3,2.47,2.47,1.36
0,3,6.26,6.26,1.76
