hab_lbl,P. Radius (EU),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Hab Zone Min (AU),S. Hab Zone Max (AU)
0,1.66,0.95,0.94,5531,0.741925,0.656,1.556
0,1.09,0.93,0.86,5214,0.49408,0.545,1.306
0,2.23,0.96,0.93,5766,0.854052,0.694,1.636
0,1.91,0.7,1.64,4324,0.835718,0.735,1.832
0,1.52,0.93,0.87,5313,0.541113,0.567,1.355
0,1.59,0.64,0.6,4043,0.086299,0.238,0.601
0,1.92,0.64,0.6,4043,0.086299,0.238,0.601
0,2.41,0.79,0.74,4890,0.280924,0.417,1.013
0,1.99,0.51,0.49,3720,0.042099,0.167,0.429
0,2.8,0.6,0.57,3830,0.062724,0.204,0.52
0,1.32,0.8,0.74,4924,0.288819,0.422,1.025
0,1.61,0.9,0.85,5413,0.556519,0.572,1.362
0,1.55,1.07,1.1,5757,1.192505,0.821,1.934
0,2.42,1.07,1.1,5757,1.192505,0.821,1.934
0,1.9,0.89,1.23,5730,1.46325,0.91,2.148
0,2.03,0.53,0.51,3676,0.043115,0.169,0.436
0,1.94,0.53,0.51,3676,0.043115,0.169,0.436
0,2.24,0.61,0.59,3880,0.070782,0.216,0.551
0,2.02,0.8,0.73,4819,0.257848,0.401,0.977
0,2.24,0.36,0.35,3385,0.01443,0.098,0.257
0,1.9,0.51,0.48,3660,0.037093,0.157,0.405
0,1.34,0.77,0.71,4695,0.21976,0.372,0.911
0,1.22,0.64,0.61,3903,0.077981,0.227,0.577
0,1.38,0.58,0.55,3672,0.050063,0.183,0.47
0,1.33,0.65,0.63,4079,0.099206,0.255,0.643
0,1.72,0.65,0.63,4079,0.099206,0.255,0.643
0,1.64,0.65,0.63,4079,0.099206,0.255,0.643
0,1.64,0.59,0.57,3745,0.056937,0.194,0.499
0,1.99,0.46,0.44,3499,0.025565,0.131,0.339
0,1.34,0.44,0.43,3585,0.027275,0.135,0.349
0,2.23,0.67,0.65,3978,0.094632,0.25,0.633
0,2.09,0.67,0.65,3978,0.094632,0.25,0.633
0,0.64,0.67,0.65,4184,0.11581,0.275,0.689
0,1.1,0.4,0.36,3420,0.015907,0.103,0.269
