P. Name,P. Composition Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU)
1RXS 1609 b,gas,non-habitable,,4451.16,19.04
1SWASP J1407 b,gas,non-habitable,6358.8,6358.8,10.94
2M 0103-55(AB) b,gas,non-habitable,4133.22,4133.22,11.4
2M 0122-24 b,gas,non-habitable,,6358.8,11.2
2M 0219-39 b,gas,non-habitable,,4419.37,16.13
2M 0441+23 b,gas,non-habitable,2384.55,2384.55,11.66
2M 0746+20 b,gas,non-habitable,,9538.2,10.86
2M 1207-39 b,gas,non-habitable,1271.76,1271.76,11.66
2M 1938+46 b,gas,non-habitable,604.09,604.09,11.21
2M 2140+16 b,gas,non-habitable,,6358.8,10.3
2M 2206-20 b,gas,non-habitable,,9538.2,14.56
2M 2236+4751 b,gas,non-habitable,3974.25,3974.25,11.43
2MASS J1450-7841 Ab,gas,non-habitable,12717.6,12717.6,9.75
2MASS J1450-7841 Bb,gas,non-habitable,12717.6,12717.6,9.75
2MASS J2250+2325 b,gas,non-habitable,9538.2,9538.2,10.3
2MASS J11193254 AB b,gas,non-habitable,1176.38,1176.38,11.64
2M J2126-81 b,gas,non-habitable,4228.6,4228.6,11.38
4 Uma b,gas,non-habitable,2257.37,2257.37,11.67
6 Lyn b,,non-habitable,21874.27,21874.27,
7 CMa b,gas,non-habitable,782.13,782.13,11.44
8 Umi b,gas,non-habitable,476.91,476.91,10.92
11 Com b,gas,non-habitable,6168.04,6168.04,10.98
11 Oph b,gas,non-habitable,6676.74,6676.74,10.87
11 UMi b,gas,non-habitable,3338.37,3338.37,11.54
14 And b,gas,non-habitable,1694.62,1694.62,11.68
14 Her b,gas,non-habitable,1475.24,1475.24,11.68
16 Cyg B b,gas,non-habitable,534.14,534.14,11.06
18 Del b,gas,non-habitable,3274.78,3274.78,11.55
24 Boo b,gas,non-habitable,289.33,289.33,10.09
24 Sex b,gas,non-habitable,632.7,632.7,11.25
24 Sex c,gas,non-habitable,273.43,273.43,9.99
30 Ari B b,gas,non-habitable,3141.25,3141.25,11.58
38 Vir b,gas,non-habitable,1433.91,1433.91,11.68
42 Dra b,gas,non-habitable,1233.61,1233.61,11.65
47 Uma b,gas,non-habitable,804.39,804.39,11.46
47 Uma c,gas,non-habitable,171.69,171.69,9.01
47 Uma d,gas,non-habitable,521.42,521.42,11.03
51 Eri b,gas,non-habitable,1928.45,2893.25,12.43
51 Peg b,gas,non-habitable,,149.43,21.28
55 Cnc b,gas,non-habitable,267.07,267.07,9.94
55 Cnc c,gas,non-habitable,56.72,56.72,6.56
55 Cnc d,gas,non-habitable,1227.25,1227.25,11.65
55 Cnc e,rocky-water,non-habitable,,8.1,1.99
55 Cnc f,gas,non-habitable,47.02,47.02,6.17
61 Vir b,rocky-iron,non-habitable,5.09,5.09,1.66
61 Vir c,gas,non-habitable,18.22,18.22,4.51
61 Vir d,gas,non-habitable,22.89,22.89,4.87
70 Vir b,gas,non-habitable,2098.4,2098.4,11.68
75 Cet b,gas,non-habitable,953.82,953.82,11.56
81 Cet b,gas,non-habitable,1685.08,1685.08,11.68
91 Aqr b,gas,non-habitable,1017.41,1017.41,11.59
AB Pic b,gas,non-habitable,4292.19,4292.19,11.37
Aldebaran b,gas,non-habitable,2057.07,2057.07,11.68
alf Ari b,gas,non-habitable,572.29,572.29,11.15
alf Cen B b,rocky-iron,non-habitable,1.14,1.14,1.09
AS 205 A b,gas,non-habitable,6120.35,6120.35,10.99
BD+03 2562 b,gas,non-habitable,2034.82,2034.82,11.68
BD+14 4559 b,gas,non-habitable,467.37,467.37,10.89
BD+15 2375 b,gas,non-habitable,337.02,337.02,10.37
BD+15 2940 b,gas,non-habitable,352.91,352.91,10.45
BD+20 274 c,gas,non-habitable,1335.35,1335.35,11.67
BD+20 594 b,rocky-iron,non-habitable,11.77,16.31,2.23
BD+20 1790 b,gas,non-habitable,2025.28,2025.28,11.68
BD+20 2457 b,gas,non-habitable,6810.27,6810.27,10.85
BD+20 2457 c,gas,non-habitable,3964.71,3964.71,11.44
BD+24 4697 b,gas,non-habitable,16850.82,16850.82,9.15
BD+26 1888 b,gas,non-habitable,8266.44,8266.44,10.55
BD+48 738 b,gas,non-habitable,289.33,289.33,10.09
BD+49 828 b,gas,non-habitable,508.7,508.7,11
BD-06 1339 b,rocky-iron,non-habitable,8.58,8.58,1.91
BD-06 1339 c,gas,non-habitable,54.05,54.05,6.46
BD-06 1339 d,gas,non-habitable,28.93,28.93,5.26
BD-08 2823 b,gas,non-habitable,14.31,14.31,4.16
BD-08 2823 c,gas,non-habitable,104.92,104.92,7.9
BD-10 3166 b,gas,non-habitable,102.14,146.25,11.54
BD-11 4672 b,gas,non-habitable,168.51,168.51,8.97
BD-17 63 b,gas,non-habitable,1621.49,1621.49,11.68
beta Cir b,gas,non-habitable,17804.64,17804.64,9.03
beta Cnc b,gas,non-habitable,2479.93,2479.93,11.65
beta Pic b,gas,non-habitable,,2225.58,18.48
beta Umi b,gas,non-habitable,1939.43,1939.43,11.68
CD-35 2722 b,gas,non-habitable,9856.14,9856.14,10.24
CFBDS 1458 b,gas,non-habitable,3338.37,3338.37,11.54
CFBDSIR J2149-0403 b,gas,non-habitable,6676.74,6676.74,10.87
CHXR 73 b,gas,non-habitable,3815.28,3815.28,11.46
CI Tau b,gas,non-habitable,3913.84,3913.84,11.44
CoRoT-1 b,gas,non-habitable,,327.48,16.69
CoRoT-2 b,gas,non-habitable,,1052.38,16.41
CoRoT-3 b,gas,non-habitable,,6921.55,11.31
CoRoT-4 b,gas,non-habitable,,228.92,13.33
CoRoT-5 b,gas,non-habitable,,148.48,14.9
CoRoT-6 b,gas,non-habitable,,941.1,13.06
CoRoT-7 b,rocky-iron,non-habitable,0.17,4.74,1.52
CoRoT-7 c,gas,non-habitable,13.56,13.56,4.08
CoRoT-8 b,gas,non-habitable,,68.62,6.37
CoRoT-9 b,gas,non-habitable,,267.07,10.53
CoRoT-10 b,gas,non-habitable,,874.34,10.86
CoRoT-11 b,gas,non-habitable,,740.8,16.02
CoRoT-12 b,gas,non-habitable,,291.55,16.13
CoRoT-13 b,gas,non-habitable,,415.87,9.91
CoRoT-14 b,gas,non-habitable,,2416.34,12.21
CoRoT-15 b,gas,non-habitable,,20157.4,12.54
CoRoT-16 b,gas,non-habitable,,170.1,13.1
CoRoT-17 b,gas,non-habitable,,772.59,11.42
CoRoT-18 b,gas,non-habitable,,1103.25,14.67
CoRoT-19 b,gas,non-habitable,,352.91,14.45
CoRoT-20 b,gas,non-habitable,,1348.07,9.41
CoRoT-21 b,gas,non-habitable,,718.54,14.56
CoRoT-22 b,gas,non-habitable,,12.2,4.88
CoRoT-23 b,gas,non-habitable,,890.23,12.1
CoRoT-24 b,gas,non-habitable,,5.72,3.7
CoRoT-24 c,gas,non-habitable,,27.98,4.93
CoRoT-25 b,gas,non-habitable,57.44,85.84,12.1
CoRoT-26 b,gas,non-habitable,162.82,165.33,14.11
CoRoT-27 b,gas,non-habitable,3303.36,3303.4,11.28
CoRoT-28 b,gas,non-habitable,,153.88,10.7
CoRoT-29 b,gas,non-habitable,,270.25,10.08
CoRoT-30 b,gas,non-habitable,902.93,902.95,11.42
CoRoT-31 b,gas,non-habitable,,267.07,16.35
CoRoT-32 b,gas,non-habitable,,47.69,6.38
CoRoT-33 b,gas,non-habitable,,18822.05,12.32
CT Cha b,gas,non-habitable,,5404.98,24.64
CVSO 30 b,gas,non-habitable,,1971.23,21.39
DE0823-49 b,gas,non-habitable,10015.11,10015.11,10.21
DH Tau b,gas,non-habitable,3497.34,3497.34,11.52
DP Leo b,gas,non-habitable,1923.54,1923.54,11.68
DW Lyn b,gas,non-habitable,1774.11,1774.11,11.68
DW Uma b,gas,non-habitable,3198.48,3198.48,11.57
EPC 212069861 b,gas,non-habitable,,3.57,2.65
EPIC-206011691 b,rocky-iron,non-habitable,,4.31,1.59
EPIC-206011691 c,rocky-iron,non-habitable,,8.68,1.92
EPIC-210490365 b,gas,non-habitable,,7.97,3.43
EPIC 201128338 b,gas,non-habitable,,4.29,2.81
EPIC 201295312 b,rocky-water,non-habitable,,12.05,2.74
EPIC 201445392 c,rocky-iron,non-habitable,,22.64,2.41
EPIC 201498078 b,gas,non-habitable,,70.9,9.52
EPIC 201598502 b,rocky-iron,non-habitable,,10.17,1.99
EPIC 201637175 b,rocky-iron,non-habitable,,445.12,2.8
EPIC 201713348 b,rocky-iron,non-habitable,,2.23,1.32
EPIC 201713348 c,gas,non-habitable,,4.24,2.8
EPIC 203826436 b,rocky-iron,non-habitable,,4.54,1.61
EPIC 203826436 c,gas,non-habitable,,3.97,2.74
EPIC 203826436 d,gas,non-habitable,,3.92,2.73
EPIC 204221263 b,rocky-iron,non-habitable,,3.88,1.55
EPIC 204221263 c,rocky-iron,non-habitable,,23.12,2.42
EPIC 210894022 b,rocky-iron,non-habitable,,8.58,1.9
EPIC 211331236 b,rocky-iron,non-habitable,,10.88,2.03
EPIC 211331236 c,rocky-iron,non-habitable,,9.09,1.94
EPIC 211391664 b,gas,non-habitable,,32.11,4.26
EPIC 211418729 b,gas,non-habitable,,588.19,10.55
EPIC 211442297 b,gas,non-habitable,,267.07,12.49
EPIC 211822797 b,rocky-iron,non-habitable,,16.46,2.24
EPIC 211913977 b,rocky-iron,non-habitable,,10.64,2.02
EPIC 211924657 b,rocky-iron,non-habitable,,16.46,2.24
EPIC  211945201 b,gas,non-habitable,,27.02,6.12
EPIC 211969807 b,rocky-iron,non-habitable,,8.48,1.9
EPIC 211970147 b,rocky-iron,non-habitable,,2.37,1.34
EPIC 211990866 b,gas,non-habitable,,8.29,3.47
EPIC 212006344 b,rocky-iron,non-habitable,,1.7,1.22
EPIC 213715787 b,rocky-iron,non-habitable,,2.58,1.38
EPIC 216468514 b,gas,non-habitable,,267.07,16.13
EPIC 219388192 b,gas,non-habitable,,11604.81,10.49
EPIC 220194974 b,rocky-iron,non-habitable,,2.3,1.33
EPIC 220194974 c,rocky-iron,non-habitable,,5.82,1.72
EPIC 220194974 d,rocky-iron,non-habitable,,4.77,1.64
EPIC 220504338 b,gas,non-habitable,,406.96,10.19
EPIC 220522664 b,rocky-iron,non-habitable,,4.77,1.64
EPIC 220598331 b,rocky-iron,non-habitable,,10.17,1.99
EPIC 220621087 b,rocky-iron,non-habitable,,2.37,1.34
EPIC 228735255 b,gas,non-habitable,,323.98,12.26
EPIC 228754001 b,gas,non-habitable,,157.38,12.2
EPIC 228934525 b,rocky-iron,non-habitable,,16.11,2.23
EPIC 228934525 c,rocky-iron,non-habitable,,12.42,2.09
EPIC 246911830 b,gas,non-habitable,451.46,451.47,17.38
EPIC 248435473 b,gas,non-habitable,,4.74,2.9
EPIC 248435473 c,rocky-iron,non-habitable,,0.2,0.64
EPIC 248545986 b,rocky-iron,non-habitable,,1.4,1.1
EPIC 248545986 c,rocky-iron,non-habitable,,0.89,1
EPIC 248545986 d,rocky-iron,non-habitable,,1.3,1.1
EPIC 249622103 b,rocky-iron,non-habitable,,2.71,1.4
EPIC 249622103 c,rocky-iron,non-habitable,,2.3,1.33
EPIC 249622103 d,gas,non-habitable,,3.49,2.64
EPIC 249801827 b,rocky-iron,non-habitable,,1589.7,1.99
EPIC 249801827 c,rocky-water,non-habitable,,4.61,1.8
eps CrB b,gas,non-habitable,2130.2,2130.2,11.68
eps Eridani b,gas,non-habitable,982.43,982.43,11.58
eps Ind A b,gas,non-habitable,861.62,861.62,11.5
eps Tau b,gas,non-habitable,2333.68,2333.68,11.67
eta Cet b,gas,non-habitable,810.75,810.75,11.46
eta Cet c,gas,non-habitable,1055.56,1055.56,11.61
FL Lyr b,gas,non-habitable,2861.46,2861.46,11.61
